Name|Attack|Defense|Health
Bulbasaur|49|49|45
Ivysaur|62|63|60
Venusaur|100|123|80
Charmander|52|43|39
Charmeleon|64|58|58
Charizard|104|78|78
Squirtle|48|65|44
Wartortle|63|80|59
Blastoise|103|120|79
Caterpie|30|35|45
Metapod|20|55|50
Butterfree|45|50|60
Weedle|35|30|40
Kakuna|25|50|45
Beedrill|150|40|65
Pidgey|45|40|40
Pidgeotto|60|55|63
Pidgeot|80|80|83
Rattata|56|35|30
Raticate|71|70|75
Spearow|60|30|40
Fearow|90|65|65
Ekans|60|44|35
Arbok|95|69|60
Pikachu|55|40|35
Raichu|85|50|60
Sandshrew|75|90|50
Sandslash|100|120|75
Nidoran♀|47|52|55
Nidorina|62|67|70
Nidoqueen|92|87|90
Nidoran♂|57|40|46
Nidorino|72|57|61
Nidoking|102|77|81
Clefairy|45|48|70
Clefable|70|73|95
Vulpix|41|40|38
Ninetales|67|75|73
Jigglypuff|45|20|115
Wigglytuff|70|45|140
Zubat|45|35|40
Golbat|80|70|75
Oddish|50|55|45
Gloom|65|70|60
Vileplume|80|85|75
Paras|70|55|35
Parasect|95|80|60
Venonat|55|50|60
Venomoth|65|60|70
Diglett|55|30|10
Dugtrio|100|60|35
Meowth|35|35|40
Persian|60|60|65
Psyduck|52|48|50
Golduck|82|78|80
Mankey|80|35|40
Primeape|105|60|65
Growlithe|70|45|55
Arcanine|110|80|90
Poliwag|50|40|40
Poliwhirl|65|65|65
Poliwrath|95|95|90
Abra|20|15|25
Kadabra|35|30|40
Alakazam|50|65|55
Machop|80|50|70
Machoke|100|70|80
Machamp|130|80|90
Bellsprout|75|35|50
Weepinbell|90|50|65
Victreebel|105|65|80
Tentacool|40|35|40
Tentacruel|70|65|80
Geodude|80|100|40
Graveler|95|115|55
Golem|120|130|80
Ponyta|85|55|50
Rapidash|100|70|65
Slowpoke|65|65|90
Slowbro|75|180|95
Magnemite|35|70|25
Magneton|60|95|50
Farfetch'd|90|55|52
Doduo|85|45|35
Dodrio|110|70|60
Seel|45|55|65
Dewgong|70|80|90
Grimer|80|50|80
Muk|105|75|105
Shellder|65|100|30
Cloyster|95|180|50
Gastly|35|30|30
Haunter|50|45|45
Gengar|65|80|60
Onix|45|160|35
Drowzee|48|45|60
Hypno|73|70|85
Krabby|105|90|30
Kingler|130|115|55
Voltorb|30|50|40
Electrode|50|70|60
Exeggcute|40|80|60
Exeggutor|105|85|95
Cubone|50|95|50
Marowak|80|110|60
Hitmonlee|120|53|50
Hitmonchan|105|79|50
Lickitung|55|75|90
Koffing|65|95|40
Weezing|90|120|65
Rhyhorn|85|95|80
Rhydon|130|120|105
Chansey|5|5|250
Tangela|55|115|65
Kangaskhan|125|100|105
Horsea|40|70|30
Seadra|65|95|55
Goldeen|67|60|45
Seaking|92|65|80
Staryu|45|55|30
Starmie|75|85|60
Mr. Mime|45|65|40
Scyther|110|80|70
Jynx|50|35|65
Electabuzz|83|57|65
Magmar|95|57|65
Pinsir|155|120|65
Tauros|100|95|75
Magikarp|10|55|20
Gyarados|155|109|95
Lapras|85|80|130
Ditto|48|48|48
Eevee|55|50|55
Vaporeon|65|60|130
Jolteon|65|60|65
Flareon|130|60|65
Porygon|60|70|65
Omanyte|40|100|35
Omastar|60|125|70
Kabuto|80|90|30
Kabutops|115|105|60
